# Deleted Objects Ledger
#  Initialized: 2025-11-06
# Purpose: Permanent ledger of retired or obsolete objects.
# No rows are ever removed. Resurrection is annotated in the Notes column.

Object ID,Canonical Name,Date of Deletion,Origin File,Reason,Notes
P8.3.2,Phase2EstablishAccountabilityProcess,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.3.3,Phase3SchedulingCadence,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.3.4,Phase4PilotRefine,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P1.3,Actions,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed duplicate project ledger entry,
T121,CreateAttachmentArollouttrackerlistingalltargetcustomersandplannedsenddatesSourcelistpulledfromPowerBI,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.1 was removed,
T122,SchedulemeetingwithChrisforweekof1110toreviewplanprogress,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.1 was removed,
T123,ZachwillpullKarlasCostSavingsSmarsheetintoAttachmentAtemplate,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.2 was removed,
T124,OnceZachpullsinSmartsheetCreatelogictouseColdStartLTinsteadofpublishedLTforsupplierstockedparts,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.2 was removed,
T125,ConfirmversioningandstoragelocationWherewillitbekeptDatereferenceisprobablyok,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.2 was removed,
T126,EstablishlogicforLeadTimetoCustomercolumnonthecustomercopy,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.2 was removed,"I recommend we use the placeholder ""transit"", but we need to be sensitive to what looks best to most customers"
T127,DocumenteachstepforcreatingupdatingandsendingtheAttachmentA,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.3 was removed,
T128,DefineownershipcreateworkinstructionsandstorealongsidethemastertemplateMikeJakeMelissa,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.3 was removed,
T129,Meetwithsalesrepstoexplainthenewprocessandoutlinehowtheinitialrolloutwillgo,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.4 was removed,
T130,SendAttachmentAnotificationwithclearmessaging,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.4 was removed,
T131,Capturereactionsandadjusttemplateormessaging,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.4 was removed,
T132,Schedulecommunicationcadenceandtrackconfirmations,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.5 was removed,
T133,Verifyacknowledgmentrecordconfirmationssummarizecoverageandnotenextsteps,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.6 was removed,
T134,EstablishnextevolutionofAttachmentAtoincludeallcustomerXrefpartsandnotewhichitemsFieldisnotstockingnopricecoldstartleadtimenocommitment,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.3.6 was removed,
T135,TesttheSPXimplementationrecentinBoltwiseandcomparetotheactualP21ItemIDswecrossreferencedforSPXrecently,2025-11-12,Projects/Project-Boltwise-Last-Piece.md,Removed ledger entry because parent P10.3 was removed,
T136,PullcommitmentquantitiesfromAttachmentAdata,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.1 was removed,
T137,DefineslowmovingcriteriaandcreatereportlayoutinPowerBI,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.1 was removed,
T138,ValidatecalculationswithZachandChrisPauli,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.1 was removed,
T139,Defineruleifitemisslowmovingfor2periodscustomermustissueaPO,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.2 was removed,
T140,DocumentescalationandalignwithSalesReps,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.2 was removed,
T141,Setquarterlysemiannualprocesscadence,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.3 was removed,
T142,Createmeetingpreptemplate,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.3 was removed,
T143,Testprocesswith12customers,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.4 was removed,
